,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
357,Quercus robur,Quercus robur,19405,species,,,
358,Koelreuteria paniculata,Koelreuteria paniculata,503286,species,,,
359,Zelkova serrata,Zelkova serrata,505790,species,,,
360,Syringa reticulata,Syringa reticulata,507196,species,,,
361,Amelanchier laevis,Amelanchier laevis,182046,species,,,
362,Maackia amurensis,Maackia amurensis,506254,species,,,
363,Monterey pine,Pinus radiata,183372,species,,,
364,Heartleaf birch,NA,NA,species,Betula cordifolia,195222,"less common name? also called Hear-leaved birch, etc.?"
365,Catberry,Ilex mucronata,835359,species,,,
366,Raisin,Hovenia dulcis,28554,species,,,
367,Mountain ash,Piptocarpha tetrantha,38860,species,,,
368,Possumhaw viburnum,Viburnum nudum,35252,species,,,
369,Black willow,Salix nigra,22484,species,,,
370,Carolina laurel cherry,NA,NA,species,Prunus caroliniana,24771,Misspelling-laurelcherry
371,White spruce,NA,NA,species,Picea glauca,183295,Multiple options given some with multiple common names
372,Amelanchier alnifolia,Amelanchier alnifolia,25109,species,,,
373,Green alder,Alnus viridis,181892,species,,,
374,Buxus sempervirens,Buxus sempervirens,501097,species,,,
375,Euonymus japonicus,Euonymus japonicus,894987,species,,,
376,Nerium oleander,Nerium oleander,30184,species,,,
377,Viburnum tinus,Viburnum tinus,505680,species,,,
378,Nothoscordum gracile (onionweed),NA,NA,species,Nothoscordum gracile,503967,The common name was in parantheses
379,Texas sophora,NA,NA,species,Sophora affinis,26958,Not accepted name
380,Lombardy poplar,NA,NA,species,Populus nigra,22468,Misspelling-Lombardy's poplar
381,Yucca rostrata,Yucca rostrata,43150,species,,,
382,American beautyberry,Callicarpa americana,32144,species,,,
383,Carolina cherry laurel,NA,NA,species,Prunus caroliniana,24771,Missordering of cerry and laurel
384,Gum bumelia,Sideroxylon lanuginosum ssp. lanuginosum,524695,species,,,
385,Leatherleaf mahonia,NA,NA,species,Berberis bealei,509499,Not found | more commonly known as Beale's barberry
386,Stretchberry,Forestiera pubescens,32957,species,,,
387,Chinese holly,Ilex cornuta,503155,species,,,
388,Heavenly bamboo,Nandina domestica,18848,species,,,
389,Groundsel tree,NA,NA,species,Baccharis halimifolia,35682,Not found but known on NCSU
390,Chinese privet,Ligustrum sinense,32979,species,,,
391,Fishpole bamboo,NA,NA,species,Phyllostachys aurea,42023,Not found | found on NSCU
392,Japanese spindle tree,NA,NA,species,Euonymus japonicus,894987,Not found bc misspelling: spindletree| found on NSCU
393,Common gardenia,Gardenia volkensii,845972,species,,,
394,Tree privet,Ligustrum lucidum,503450,species,,,
395,Reeves spiraea,NA,NA,species,Spiraea catoniensis,505334,Not found | found on NSCU
396,Buttonwood-mangrove,NA,NA,species,Conocarpus erectus,27766,maybe misspelled-Button mangrove
397,Strawberry bush,Euonymus americanus,27947,species,,,
398,Winged eonymous,NA,NA,species,Euonymus alatus,27946,misspelled-Winged euonymus
399,Viburnum rhytidophyllum,Viburnum rhytidophyllum,505679,species,,,
400,Silver poplar,NA,NA,species,Populus alba,22451,not found | internet says also called silverleaf or white poplar
401,Mountain maple,NA,NA,species,Acer spicatum,28758,two options: Acer glabrum vs. A. spicatum | 
402,Carolina laurelcherry,Prunus caroliniana,24771,species,,,
403,Bigleaf snowbell,Styrax grandifolius,505399,species,,,
404,American sweetgum,NA,NA,species,Liquidambar styraciflua,19027,no matches | just sweetgum?
405,Sweetbay magnolia,NA,NA,species,Magnolia virginiana,18070,no matches|found at NCSU and internet
406,Prunus spp. (apricot),NA,NA,species,Prunus armeniaca,24769,didn't register bc of common name in ()
407,Prunus spp. (cherry),NA,NA,species,Prunus,24762,didn't register bc of common name in ()
408,Punica,Punica,27277,species,,,
409,Camptotheca,Camptotheca,500635,species,,,
410,Viburnum awabuki,NA,NA,species,Viburnum odoratissimum,505678,Not found | match on NCSU | there's a variant of V. odoratissimum var. awabuki
411,Eriobotrya japonica,Eriobotrya japonica,502403,species,,,
412,Silverbell,Halesia,23863,species,,,
413,Black haw,NA,NA,species,Viburnum prunifolium,35253,misspelling-Blackhaw
414,Pussy willow,Salix discolor,22524,species,,,
415,Prunus spp.(plum),NA,NA,species,Prunus,24762,didn't register bc of common name in ()
416,Cockspur hawthorn,Crataegus crus-galli,24552,species,,,
417,Honey locust,Gleditsia triacanthos,26714,species,,,
418,Winged euonymus,Euonymus alatus,27946,species,,,
419,Prunus laurocerasus,Prunus laurocerasus,24786,species,,,
420,Japanese cherry,NA,NA,species,Prunus serrulata,506233,uncommon common name-japanese flowering cherry
421,Alnus crispa,NA,NA,species,Alnus viridis,181892,formerly known as this |
422,Rosa acicularis,Rosa acicularis,24812,species,,,
423,Rubus idaeus,Rubus idaeus,24947,species,,,
424,Lonicera involucrata,Lonicera involucrata,35297,species,,,
425,Franklin tree,NA,NA,species,Franklinia alatamaha,21384,two options between a genus and scientific name | looked at NCSU
426,Crepe myrtle,NA,NA,species,Lagerstroemia,27109,should not be spaced
427,Prunus salicina,Prunus salicina,506232,species,,,
428,Na,NA,NA,species,NA,NA,Unknown
429,Tilia tomentosa,Tilia tomentosa,845764,species,,,
430,Ulmus carpinifolia,NA,NA,species,Ulmus procera,19056,a former name/synonym
431,Pitch pine,NA,NA,species,Pinus rigida,183376,between couple names
432,Loblolly pine,Pinus taeda,18037,species,,,
